Year,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia
1990,78.4,79.5,78.4,78.2,78.7,79.2,78.7,76.2,76.0,75.0,78.4
1991,82.8,84.4,84.3,82.9,83.8,85.0,82.4,80.1,80.0,79.4,82.6
1992,84.0,85.3,85.0,83.5,84.3,86.6,83.2,81.2,80.8,80.6,84.8
1993,85.6,86.7,86.6,84.5,85.4,87.7,84.7,83.4,83.3,81.4,87.8
1994,85.7,87.8,86.4,85.5,85.9,86.6,84.7,84.6,84.8,82.6,89.5
1995,87.6,89.0,87.8,86.6,87.2,88.1,86.8,86.9,86.4,84.5,91.6
1996,88.9,90.4,89.4,88.2,88.5,89.5,88.2,88.8,88.1,86.4,92.4
1997,90.4,92.3,90.5,90.0,90.1,90.8,89.8,90.6,89.2,88.1,93.1
1998,91.3,92.5,90.1,90.6,90.6,92.1,90.6,91.8,90.4,89.2,93.4
1999,92.9,93.8,91.2,92.1,92.1,93.5,92.4,93.6,92.0,91.4,94.4
2000,95.4,96.6,94.9,95.3,95.1,95.8,95.1,95.9,94.4,94.5,96.1
2001,97.8,97.7,97.4,97.1,96.8,98.0,98.0,98.5,97.2,96.7,97.7
2002,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2003,102.8,102.9,103.5,103.4,103.4,102.5,102.7,101.8,102.3,104.4,102.2
2004,104.7,104.8,105.8,105.3,104.9,104.5,104.6,103.8,104.6,105.9,104.2
2005,107.0,107.6,109.1,108.2,107.4,106.9,106.9,106.6,106.9,108.1,106.3
2006,109.1,109.5,111.6,110.4,109.2,108.7,108.8,108.7,109.1,112.3,108.1
2007,111.5,111.1,113.6,112.5,111.3,110.4,110.8,110.9,112.2,117.9,110.0
2008,114.1,114.3,117.5,115.9,113.2,112.7,113.3,113.4,115.9,121.6,112.3
2009,114.4,114.6,117.3,115.7,113.5,113.4,113.7,114.1,117.1,121.5,112.3
2010,116.5,117.4,119.5,118.2,115.9,114.8,116.5,115.0,118.7,122.7,113.8
2011,119.9,121.4,123.0,122.7,120.0,118.3,120.1,118.4,122.0,125.7,116.5
2012,121.7,123.9,125.5,125.1,122.0,120.8,121.8,120.3,123.9,127.1,117.8
2013,122.8,126.0,128.0,126.6,123.0,121.7,123.0,123.0,125.7,128.9,117.7
2014,125.2,128.4,130.1,128.8,124.8,123.4,125.9,125.3,128.7,132.2,118.9
2015,126.6,129.0,129.3,129.3,125.4,124.7,127.4,126.8,130.8,133.7,120.2
2016,128.4,132.5,130.8,130.9,128.2,125.6,129.7,128.4,132.2,135.2,122.4
2017,130.4,135.7,133.2,132.4,131.2,126.9,131.9,130.5,134.4,137.3,125.0
2018,133.4,137.9,136.3,135.3,134.0,129.0,135.0,133.8,137.5,140.6,128.4
2019,136.0,139.3,137.9,137.5,136.3,131.7,137.5,136.8,139.9,143.1,131.4
2020,137.0,139.6,137.9,137.9,136.6,132.8,138.4,137.5,140.7,144.7,132.4
2021,141.6,144.7,144.9,143.5,141.8,137.8,143.2,142.0,144.4,149.3,136.1
2022,151.2,153.9,157.8,154.3,152.1,147.0,152.9,153.2,153.9,158.9,145.5
2023,157.1,159.0,162.3,160.5,157.5,153.6,158.7,158.6,160.0,164.1,151.2
2024,160.9,161.9,165.3,164.2,161.0,157.2,162.5,160.3,162.3,168.9,155.2
2025,164.2,164.2,167.6,167.6,163.7,161.0,165.6,164.6,165.7,172.2,158.5
