year,n_stories,n_duplicates,n_sources,pct_duplicate,category
2015,245,34,13,13.9,tenant
2016,299,37,21,12.4,tenant
2017,518,93,42,18.0,tenant
2018,575,115,43,20.0,tenant
2019,569,57,48,10.0,tenant
2020,723,160,51,22.1,tenant
2021,464,97,43,20.9,tenant
2022,474,73,41,15.4,tenant
2023,473,103,37,21.8,tenant
2024,821,414,28,50.4,tenant
2025,522,302,26,57.9,tenant
2015,150,12,9,8.0,landlord
2016,177,18,21,10.2,landlord
2017,294,86,39,29.3,landlord
2018,340,78,39,22.9,landlord
2019,263,35,39,13.3,landlord
2020,549,181,50,33.0,landlord
2021,214,38,37,17.8,landlord
2022,210,54,33,25.7,landlord
2023,214,44,26,20.6,landlord
2024,359,181,26,50.4,landlord
2025,370,227,23,61.4,landlord
